,MRSP,Drivetrain,Passenger Capacity,Passenger Doors,Transmission,"Fuel Tank Capacity, Approx (gal)",Engine Type,Brake Type,Brake ABS System,Spare Wheel Material,Front Wheel Material,Rear Wheel Material,Suspension Type - Front,Suspension Type - Rear,Child Safety Rear Door Locks,Daytime Running Lights,Traction Control,Rollover Protection Bars,Fog Lamps,Parking Aid,Tire Pressure Monitor,Back-Up Camera,Stability Control,Basic Miles/km,Basic Years,Corrosion Miles/km,Corrosion Years,Drivetrain Miles/km,Drivetrain Years,Roadside Assistance Miles/km,Roadside Assistance Years,City Mileage,Highway Mileage,Engine Fuel Type,Engine Displacement,Gears,torque,Horsepower,Year,Make,Main Make
29,38795.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,251.0,273.0,2015,1235,0
30,35095.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,251.0,273.0,2015,1235,0
31,40195.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,251.0,273.0,2015,1235,0
32,35920.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,251.0,273.0,2014,1039,0
33,38220.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,251.0,273.0,2014,1039,0
34,34520.0,0,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,251.0,273.0,2014,1039,0
35,39620.0,2,5,4,0,16.0,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,6,251.0,273.0,2014,1039,0
36,35720.0,2,5,4,1,16.0,28,0,0,4,1,1,62,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,43,3.5,6,251.0,273.0,2013,848,0
37,38020.0,0,5,4,1,16.0,28,0,0,4,1,1,62,100,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,43,3.5,6,251.0,273.0,2013,848,0
38,34320.0,0,5,4,1,16.0,28,0,0,4,1,1,62,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,43,3.5,6,251.0,273.0,2013,848,0
39,39420.0,2,5,4,1,16.0,28,0,0,4,1,1,62,100,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,43,3.5,6,251.0,273.0,2013,848,0
40,34895.0,2,5,4,1,18.0,109,0,0,4,1,1,62,100,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,17.0,22.0,108,2.3,5,260.0,240.0,2012,666,0
41,35995.0,0,5,4,1,18.0,109,0,0,4,1,1,62,100,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,19.0,24.0,108,2.3,5,260.0,240.0,2012,666,0
42,32895.0,0,5,4,1,18.0,109,0,0,4,1,1,62,100,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,19.0,24.0,108,2.3,5,260.0,240.0,2012,666,0
43,37995.0,2,5,4,1,18.0,109,0,0,4,1,1,62,100,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,17.0,22.0,108,2.3,5,260.0,240.0,2012,666,0
44,34895.0,2,5,4,1,18.0,109,0,0,4,1,1,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,17.0,22.0,108,2.3,5,260.0,240.0,2011,492,0
45,35995.0,0,5,4,1,18.0,109,0,0,4,1,1,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,19.0,24.0,108,2.3,5,260.0,240.0,2011,492,0
46,32895.0,0,5,4,1,18.0,109,0,0,4,1,1,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,19.0,24.0,108,2.3,5,260.0,240.0,2011,492,0
47,37995.0,2,5,4,1,18.0,109,0,0,4,1,1,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,17.0,22.0,108,2.3,5,260.0,240.0,2011,492,0
48,34520.0,2,5,4,1,18.0,19,0,0,4,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,17.0,22.0,34,2.3,5,260.0,240.0,2010,325,0
49,35620.0,0,5,4,1,18.0,19,0,0,4,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,19.0,24.0,34,2.3,5,260.0,240.0,2010,325,0
50,32520.0,0,5,4,1,18.0,19,0,0,4,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,19.0,24.0,34,2.3,5,260.0,240.0,2010,325,0
51,37620.0,2,5,4,1,18.0,19,0,0,4,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,17.0,22.0,34,2.3,5,260.0,240.0,2010,325,0
52,33895.0,2,5,4,1,18.0,19,0,0,5,0,0,42,66,1,1,1,0,1,0,1,0,1,6,2,4,5,6,5,5,3,17.0,22.0,34,2.3,5,260.0,240.0,2009,164,0
53,37195.0,2,5,4,1,18.0,19,0,0,5,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,17.0,22.0,34,2.3,5,260.0,240.0,2009,164,0
54,33195.0,2,5,4,1,18.0,19,0,0,5,0,0,42,66,1,1,1,0,1,0,1,0,1,6,2,4,5,6,5,5,3,17.0,22.0,34,2.3,5,260.0,240.0,2008,16,0
55,36695.0,2,5,4,1,18.0,19,0,0,5,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,17.0,22.0,34,2.3,5,260.0,240.0,2008,16,0
56,32995.0,2,5,4,1,18.0,19,0,0,5,1,1,42,66,0,1,1,0,1,0,1,0,1,6,2,4,5,6,5,5,3,19.0,23.0,34,2.3,5,260.0,240.0,2007,2952,0
57,36495.0,2,5,4,1,18.0,19,0,0,5,1,1,42,66,0,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,19.0,23.0,34,2.3,5,260.0,240.0,2007,2952,0
58,44300.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,27.0,77,3.5,9,267.0,290.0,2019,2030,0
59,53300.0,2,6,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,19.0,26.0,77,3.5,9,267.0,290.0,2019,2030,0
60,54800.0,2,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,19.0,25.0,77,3.5,9,267.0,290.0,2019,2030,0
61,51300.0,2,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,19.0,26.0,77,3.5,9,267.0,290.0,2019,2030,0
62,60050.0,2,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,19.0,26.0,77,3.5,9,267.0,290.0,2019,2030,0
63,58050.0,2,6,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,19.0,26.0,77,3.5,9,267.0,290.0,2019,2030,0
